,neno,tag,uwingi,word
57,abudia,verb applicative,,pray for
58,abudu,religious,,
59,abudisha,verb causative,,cause to fear
60,abudisha,verb causative,,cause to pray
61,abudu,religious,,
62,abudisha,verb causative,,cause to serve
63,abudisha,verb causative,,cause to worship
64,abudiwa,verb,,be worshipped
65,abudu,verb,,fear
66,abudu,verb,,pray
67,abudu,verb,,serve
68,abudu,verb,,worship
69,Abunuwasi,noun 1,,proper name in tales of Arabic origin
70,Abunuwasi,noun 1,,one who tells Abunawasi tales
71,acha,verb,,abandon
72,acha,verb,,acquit
73,acha,verb,,allow
74,acha,verb,,cease
75,acha,verb,,desert
76,acha,verb,,discontinue
77,acha,verb,,divorce (someone)
78,acha,verb,,fail to do
79,acha,verb,,leave (behind)
80,acha,verb,,neglect
81,acha,verb,,pardon
82,acha,verb,,permit
83,acha,verb,,release
84,acha,verb,,stop
85,achali,noun 9/10,achali,ppetizer
86,achali,noun 9/10,achali,chutney
87,achali,noun 9/10,achali,relish
88,achama,verb,,gasp
89,achama,verb,,open mouth wide
90,achana,verb associative,,be different
91,achana,verb associative,,diverge
92,achana,verb associative,,leave each other
93,achana,verb associative,,separate
94,achana,verb associative,,be separated
95,achana,na verb reciprocal,,part
96,na,verb,,break up
97,achari,noun 9/10,achari,ppetizer
98,achari,noun 9/10,achari,chutney
99,achari,noun 9/10,achari,relish
100,achia,verb applicative,,bequeath
101,achia,verb applicative,,leave something to someone
102,achia,verb applicative,,leave for
103,achia,verb applicative,,let someone have something
104,achia,verb applicative,,let out
105,achia,verb applicative,,yield
106,achilia,verb applicative,,forgive
107,achilia,verb applicative,,pardon
108,achilia,verb applicative,,release
109,mbali,verb applicative,,abandon
110,mbali,verb applicative,,break off
111,mbali,verb applicative,,cease
112,mbali,verb applicative,,leave alone
113,achilika,verb,,be excusable
114,achilika,verb,,be pardonable
115,achilio,noun 5/6,maachilio,forgiveness
116,achilio,noun 5/6,maachilio,pardon
117,achiliwa,verb,,be released
118,achisha,verb causative,,cause to abandon
119,achisha,verb causative,,cause to divorce
120,achisha,verb causative,,cause to leave
121,achisha,verb causative,,wean (a child)
122,achwa,verb,,be left
123,ada,noun 5/6,maada,contribution
124,ada,noun 9/10,ada,custom
125,ada,noun 9/10,ada,ayment
126,ada,noun 9/10,ada,fee
127,ada,noun 9/10,ada,orthcoming)
128,ada,noun 9/10,ada,habit
129,ada,noun 9/10,ada,manner
130,ada,noun 5/6,maada,payment
131,harusi,noun 5/6,maada,resent
132,mganga,noun 9/10,ada,doctor'ee
133,shule,noun 9/10,ada,ee
134,tu,phrase,,as is appropriate
135,tu,phrase,,as is fitting
136,adabu,noun 9/10,adabu,ehavior
137,adabu,noun 9/10,adabu,consideration
138,adabu,noun 9/10,adabu,courtesy
139,adabu,noun 9/10,adabu,manners
140,adabu,noun 9/10,adabu,politeness
141,Adamu,noun 1,,Adam
142,adawa,noun 9/10,adawa,enmity
143,adawa,noun 9/10,adawa,hostility
144,adawa,noun 9/10,adawa,illwill
145,Aden,noun,,Aden (city)
146,adesi,noun 9/10,adesi,lentil
147,adha,noun 9/10,adha,discomfort
148,adha,noun 9/10,adha,trouble
149,adhabu,verb,,chastise
150,adhabu,verb,,persecute
151,adhabu,verb,,punish
152,adhabu,verb,,chastise
153,adhabu,verb,,persecute
154,adhabu,verb,,punish
155,adhabu,verb,,chastise
156,adhabu,verb,,persecute
157,adhabu,verb,,punish
158,adhabu,noun 9/10,adhabu,pain
159,adhabu,noun 9/10,adhabu,penalty
160,adhabu,noun 9/10,adhabu,persecution
161,adhabu,noun 9/10,adhabu,punishment
162,adhabu,noun 9/10,adhabu,pursuit
163,adhabu,noun 9/10,adhabu,torment
164,adhama,noun 9/10,adhama,authority
165,adhama,noun 9/10,adhama,uezzin
166,adhama,noun 9/10,adhama,dignity
167,adhama,noun 9/10,adhama,fame
168,adhama,noun 9/10,adhama,glory
169,adhama,noun 9/10,adhama,grandeur
170,adhama,noun 9/10,adhama,greatness
171,adhama,noun 9/10,adhama,honor
172,adhama,noun 9/10,adhama,pomp
173,adhama,noun 9/10,adhama,power
174,adhama,noun 9/10,adhama,splendor
175,adana,verb,,call to prayer
176,adhana,noun 9/10,adhana,uezzin
177,adhibika,verb,,be punished
178,adhibisha,verb,,annoy
179,adhibisha,verb,,chastise
180,adhibisha,verb,,harass
181,adhibisha,verb,,pass judgement
182,adhibisha,verb,,molest
183,adhibisha,verb,,cause pain
184,adhibisha,verb,,punish
185,adhibisha,verb,,sentence
186,adhibisha,verb,,torment
187,adhibiwa,verb,,be punished
188,adhibu,verb,,annoy
189,adhibu,verb,,chastise
190,adhibu,verb,,harass
191,adhibu,verb,,pass judgement
192,adhibu,verb,,molest
193,adhibu,verb,,cause pain
194,adhibu,verb,,punish
195,adhibu,verb,,sentence
196,adhibu,verb,,torment
197,adhima,noun 9/10,adhima,authority
198,adhima,noun 9/10,adhima,dignity
199,adhima,noun 9/10,adhima,fame
200,adhima,noun 9/10,adhima,grandeur
201,adhima,noun 9/10,adhima,greatness
202,adhima,noun 9/10,adhima,pomp
203,adhima,noun 9/10,adhima,power
204,adhima,noun 9/10,adhima,splendor
205,adhimia,verb applicative,,praise someone
206,adhimisha,verb causative,,celebrate
207,adhimisha,verb causative,,exalt
208,adhimisha,verb causative,,glorify
209,adhimisha,verb causative,,honor
210,adhimisha,verb causative,,magnify
211,adhimisha,verb causative,,praise
212,adhimisho,noun 5/6,maadhimisho,celebration
213,adhimisho,noun 5/6,maadhimisho,ceremony
214,adhimisho,noun 5/6,maadhimisho,solemnity
215,adhimu,verb,,celebrate
216,adhimu,verb,,exalt
217,adhimu,verb,,glorify
218,adhimu,verb,,honor
219,adhimu,verb,,magnify
220,adhimu,verb,,praise
221,adhimu,adjective,,great
222,adhimu,adjective,,important
223,adhimu,adjective,,significant
224,adhimu,adverb,,greatly
225,adhimu,adverb,,importantly
226,adhimu,adverb,,significantly
227,adhini,verb,,call to prayer (Islam)
228,adhiri,verb,,criticize
229,adhiri,verb,,defame
230,adhiri,verb,,degrade
231,adhiri,verb,,find fault with
232,adhiri,verb,,humiliate
233,adhiri,verb,,reprove
234,adhiri,verb,,slander
235,adhuhuri,noun 9/10,adhuhuri,midday
236,adhuuri,noun 9/10,adhuuri, o'clock)
237,adi,verb,,accompany
238,adi,verb,,escort
239,adi,verb,,go part of the way with s
240,adia,noun 9/10,adia,ift
241,adia,noun 9/10,adia,present
242,adibisha,verb causative,,cause to be brought up
243,adibisha,verb causative,,cause to be educated
244,adibisha,verb causative,,cause to be taught good manners
245,adibisha,verb causative,,train in good manners
246,adibu,verb,,bring up
247,adibu,verb,,educate
248,adibu,verb,,teach good manners
249,adibu,adjective,,courteous
250,adibu,adjective,,gracious
251,adibu,adjective,,polite
252,adibu,adjective,,wellbred
253,yako,phrase,,Behave yourself!
254,adili,verb,,conduct oneself well
255,adili,verb,,be impartial
256,adili,verb,,be just
257,adili,adjective,,correct
258,adili,adjective,,honest
259,adili,adjective,,impartial
260,adili,adjective,,just
261,adili,adjective,,right
262,adili,adjective,,righteous
263,adili,adjective,,straightforward
264,adili,noun 5/6,maadili,onduct
265,adili,noun 5/6,maadili,ethics
266,adili,noun 5/6,maadili,onduct
267,adili,noun 5/6,maadili,impartiality
268,adili,noun 5/6,maadili,justice
269,adili,noun 5/6,maadili,morality
270,adili,noun 5/6,maadili,morals
271,adilifu,adjective,,correct
272,adilifu,adjective,,honest
273,adilifu,adjective,,impartial
274,adilifu,adjective,,just
275,adilifu,adjective,,right
276,adilifu,adjective,,righteous
277,adilifu,adjective,,straightforward
278,adilisha,verb,,cause to be moral
279,adilisha,verb,,teach morality
280,adilisha,verb,,cause to be righteous
281,adilisha,verb,,teach good conduct
282,adilisha,verb,,teach right conduct
283,adimika,verb,,be obtainable
284,adimika,verb,,be rare
285,adimika,verb,,be scarce
286,adimu,adjective,,deficient
287,adimu,adjective,,faulty
288,adimu,adjective,,inadequate
289,adimu,adjective,,insufficient
290,adimu,adjective,,rare
291,adimu,adjective,,scarce
292,adimu,adjective,,unobtainable
293,adimu,adjective,,unsatisfactory
294,adinasi,noun 9/10an,adinasi,an
295,adinasi,noun 9/10an,adinasi,irth
296,admeli,noun 9/10an,admeli,admiral
297,admirali,noun 9/10an,admirali,admiral
298,adua,verb,,prepare magical charms (against the evil eye)
299,adua,verb,,make offerings
300,adua,verb,,make sacrifices
301,adui,noun 5/6an,maadui,enemy
302,adui,noun 5/6an,maadui,foe
303,adui,noun 5/6an,maadui,opponent
304,aenzi,verb,,exalt
305,aenzi,verb,,glorify
306,aenzi,verb,,inaugurate (as a ruler)
307,aenzi,verb,,install
308,aenzi,verb,,invest with power
309,aenzi,noun 9/10,aenzi,dominion
310,aenzi,noun 9/10,aenzi,power
311,aenzi,noun 9/10,aenzi,rule
312,aenzi,noun 9/10,aenzi,sovereignty
313,afa,noun 5/6,maafa,accident
314,afa,noun 5/6,maafa,uck
315,afa,noun 5/6,maafa,calamity
316,afa,noun 5/6,maafa,catastrophe
317,afa,noun 5/6,maafa,damage
318,afa,noun 5/6,maafa,danger
319,afa,noun 5/6,maafa,disaster
320,afa,noun 5/6,maafa,horror
321,afa,noun 5/6,maafa,injury
322,afa,noun 5/6,maafa,injustice
323,afa,noun 5/6,maafa,menace
324,afa,noun 5/6,maafa,misfortune
325,afa,noun 5/6,maafa,mishap
326,afa,noun 5/6,maafa,peril
327,afa,noun 5/6,maafa,terror
328,afa,noun 5/6,maafa,threat
329,afadhali,adverb,,better
330,afadhali,adverb,,preferable
331,afadhali,adverb,,preferably
332,afadhali,adverb,,rather
333,afande,noun 9/10,afande,olice
334,afdhali,adverb,,better
335,afdhali,adverb,,particularly
336,afdhali,adverb,,preferable
337,afdhali,adverb,,preferably
338,afdhali,adverb,,rather
339,afendi,noun 9/10,afendi,ank)
340,afia,noun 9/10,afia,health
341,afia,noun 9/10,afia,strength
342,afia,noun 9/10,afia,vigor
343,afikana,verb associative,,agree together
344,afikana,verb associative,,come to an agreement
345,afikana,verb associative,,compromise
346,afikana,verb associative,,make a contract
347,afikana,verb associative,,be reconciled
348,afikana,verb associative,,make a settlement
349,afikana,verb associative,,come to an understanding
350,afikanisha,verb causative,,appease
351,afikanisha,verb causative,,conciliate
352,afikanisha,verb causative,,reconcile
353,afikanisha,verb causative,,satisfy
354,afiki,verb,,agree
355,afiki,verb,,agree (with)
356,afiki,verb,,appease
357,afiki,verb,,assent
358,afiki,verb,,correspond
359,afiki,verb,,fit
360,afiki,verb,,be fitting
361,afiki,verb,,be the same as
362,afiki,verb,,satisfy
363,afikiana,verb associative,,agree together
364,afikiana,verb associative,,come to an agreement
365,afikiana,verb associative,,compromise
366,afikiana,verb associative,,make a contract
367,afikiana,verb associative,,be reconciled
368,afikiana,verb associative,,make a settlement
369,afikiana,verb associative,,come to an understanding
370,afikiano,noun 5/6,maafikiano,agreement
371,afikiano,noun 5/6,maafikiano,compromise
372,afikiano,noun 5/6,maafikiano,pact
373,afikiano,noun 5/6,maafikiano,settlement
374,afiriti,noun 9/10an,afiriti,enius
375,afiriti,noun 9/10an,afiriti,erson
376,afisa,noun 5/6an,maafisa,fficer
377,afisa,noun 5/6an,maafisa,officer
378,afisa,noun 5/6an,maafisa,official
379,afisi,noun 9/10,afisi,bureau
380,afisi,noun 9/10,afisi,department
381,afisi,noun 9/10,afisi,office
382,afiuni,noun 9/10,afiuni,opium
383,Afrika,noun 9,,Africa
384,Kati,noun 9,,Central Africa
385,afrikanaizesheni,noun 9,,Africanization
386,afriti,noun 9/10an,afriti,devil
387,afriti,noun 5/6an,afriti,enius
388,afriti,noun 9/10an,afriti,erson
389,afriti,noun 9/10an,afriti,pirit
390,afriti,noun 9/10an,afriti,erson
391,afu,verb,,cure
392,afu,verb,,defend
393,afu,verb,,deliver from calamity
394,afu,verb,,forgive
395,afu,verb,,free
396,afu,verb,,guard
397,afu,verb,,heal
398,afu,verb,,help
399,afu,verb,,liberate
400,afu,verb,,pardon
401,afu,verb,,protect
402,afu,verb,,release
403,afu,verb,,save
404,afu,noun 9/10,afu,defense
405,afu,noun 9/10,afu,alamity
406,afu,noun 9/10,afu,asmine
407,afu,noun 9/10,afu,wild)
408,afu,noun 9/10,afu,liberation
409,afu,noun 9/10,afu,protection
410,afu,noun 9/10,afu,redemption
411,afu,noun 9/10,afu,salvation
412,afua,verb,,cure
413,afua,verb,,defend
414,afua,verb,,deliver from calamity
415,afua,verb,,forgive
416,afua,verb,,free
417,afua,verb,,guard
418,afua,verb,,heal
419,afua,verb,,liberate
420,afua,verb,,pardon
421,afua,verb,,protect
422,afua,verb,,release
423,afua,verb,,save
424,afua,noun 9/10,afua,defense
425,afua,noun 9/10,afua,liberation
426,afua,noun 9/10,afua,protection
427,afua,noun 9/10,afua,redemption
428,afua,noun 9/10,afua,salvation
429,afudhali,adverb,,better
430,afudhali,adverb,,particularly
431,afudhali,adverb,,preferably
432,afudhali,adverb,,rather
433,afueni,noun,,convalescent leave
434,afya,verb,,put on oath
435,afya,verb,,sneeze
436,afya,noun 9/10,afya,health
437,afya,noun 9/10,afya,strength
438,afya,noun 9/10,afya,vigor
439,Afya,phrase,,good health
440,afya,phrase,,response to a sneeze
441,afyuni,noun 9/10,afyuni,opium
442,aga,verb,,agree
443,aga,verb,,agree with
444,aga,verb,,come to an agreement
445,aga,verb,,make a contract
446,aga,verb,,destroy
447,aga,verb,,say goodbye
448,aga,verb,,leave
449,aga,verb,,take one's leave
450,die,euphemism,,
451,aga,verb,,take leave of
452,Agami,noun,,pl (sing
453,Agami,noun,,pl (sing
454,Agami,noun,,Iran
455,agana,verb,,agree
456,agana,verb,,make an agreement
457,agana,verb,,make a contract
458,agana,verb,,say goodbye (to each other)
459,agana,verb,,take leave of each other (for a long period)
460,agana,verb reciprocal,,make a pact
461,agana,verb reciprocal,,take leave of each other
462,buriani,verb,,bid each other a final farewell
463,agano,noun 5/6,maagano,agreement
464,agano,noun 5/6,maagano,arrangement
465,agano,noun 5/6,maagano,contract
466,agano,noun 5/6,maagano,covenant
467,agano,noun 5/6,maagano,departure
468,agano,noun 5/6,maagano,farewell
469,agano,noun 5/6,maagano,pact
470,agano,noun 5/6,maagano,parting
471,agano,noun 5/6,maagano,promise
472,agano,noun 5/6,maagano,settlement
473,agano,noun 5/6,maagano,testament
474,agano,noun 5/6,maagano,treaty
475,agano,noun 5/6,maagano,understanding
476,agano,noun 5/6,maagano,vow
477,Kale,phrase,,Old Testament
478,aghalabu,adverb,,chiefly
479,aghalabu,adverb,,mainly
480,aghalabu,adverb,,more often
481,aghalabu,adverb,,mostly
482,aghalabu,adverb,,ordinarily
483,aghalabu,adverb,,as a rule
484,aghalabu,adverb,,usually
485,aghlabu,adverb,,chiefly
486,aghlabu,adverb,,mainly
487,aghlabu,adverb,,more often
488,aghlabu,adverb,,mostly
489,aghlabu,adverb,,ordinarily
490,aghlabu,adverb,,as a rule
491,aghlabu,adverb,,usually
492,agia,verb applicative,,befit
493,agia,verb applicative,,suit
494,agiza,verb causative,,charge
495,agiza,verb causative,,commission
496,agiza,verb causative,,direct
497,agiza,verb causative,,instruct
498,agiza,verb causative,,give instructions
499,agiza,verb causative,,order
500,agizia,verb applicative,,order for
501,agizo,noun 5/6,maagizo,commission
502,agizo,noun 5/6,maagizo,direction
503,agizo,noun 5/6,maagizo,directive
504,agizo,noun 5/6,maagizo,instruction
505,agizo,noun 5/6,maagizo,order
506,agizo,noun 5/6,maagizo,regulation
507,agizwa,verb,,be ordered
508,Agosti,noun 9,,August
509,agua,verb,,divine
510,agua,verb,,foretell
511,agua,verb,,predict
512,agua,verb,,prophesy
513,agua,verb,,treat (usu
514,agulia,verb applicative,,predict
515,agulia,verb applicative,,prophesy
516,aguliwa,verb,,be predicted
517,aguzi,noun 5/6,maaguzi, spell
518,aguzi,noun 5/6,maaguzi, men)
519,aguzi,noun 5/6,maaguzi,medicine
520,aguzi,noun 5/6,maaguzi,prediction
521,aguzi,noun 5/6,maaguzi,prophesy
522,aguzi,noun 5/6,maaguzi,remedy
523,ah,interjection,,expresses joy
524,ah,interjection,,expresses pain
525,ah,interjection,,expresses surprise
526,ahadi,verb,,keep a vow
527,ahadi,verb,,make a promise
528,ahadi,verb,,make a promise
529,ahadi,verb,,keep a promise
530,ahadi,verb,,keep a vow
531,ahadi,verb,,keep a vow
532,ahadi,verb,,break a promise
533,ahadi,verb,,break a vow
534,ahadi,noun 9/10,ahadi,agreement
535,ahadi,noun 9/10,ahadi,covenant
536,ahadi,noun 9/10,ahadi,obligation
537,ahadi,noun 9/10,ahadi,promise
538,ahadi,noun 9/10,ahadi,vow
539,ahali,noun 9/10an,ahali,family
540,ahali,noun 9/10an,ahali,relations
541,ahali,noun 9/10an,ahali,distant)
542,and,other,,
543,ahali,noun 9/10an,ahali,wife
544,ahera,noun 9/10,ahera,afterlife
545,ahera,noun 9/10,ahera,hereafter
546,die,figurative,,
547,ahera,noun 9/10,ahera,ome
548,ahera,noun 9/10,ahera,orld
549,aheri,noun 9/10,aheri,border
550,aheri,noun 9/10,aheri,end
551,aheri,noun 9/10,aheri,limit
552,ahi,noun 9/10an,ahi,brother
553,ahi,noun 9/10an,ahi,eople
554,ahi,noun 9/10an,ahi,friend
555,ahi,noun 9/10an,ahi,rabble
556,ahidi,verb,,agree
557,ahidi,verb,,promise
558,ahidi,verb,,vow
559,ahidiana,verb,,promise one another
560,ahidiwa,verb passive,,be promised
561,ahiri,verb,,delay
562,ahiri,verb,,hesitate
563,ahiri,verb,,be postponed
564,ahiri,verb,,procrastinate
565,ahiri,verb,,be put off
566,ahirisha,verb causative,,postpone
567,ahirisha,verb causative,,put off
568,ahiriwa,verb passive,,be postponed
569,ahli,noun 9/10an,ahli,family
570,ahli,noun 9/10an,ahli,relations
571,ahli,noun 9/10an,ahli,distant)
572,and,other,,
573,ahli,noun 9/10an,ahli,wife
574,ahsante,noun 10,,thanks
575,ahsante,phrase,,thank you
576,aibika,verb,,be abashed
577,aibika,verb,,be ashamed
578,aibika,verb,,be disgraced
579,aibika,verb,,be dishonored
580,aibika,verb,,be embarrassed
581,aibisha,verb causative,,abash
582,aibisha,verb causative,,disconcert
583,aibisha,verb causative,,disgrace
584,aibisha,verb causative,,dishonor
585,aibisha,verb causative,,embarrass
586,aibisha,verb causative,,humiliate
587,aibisha,verb causative,,shame
588,aibisho,noun 5/6,maaibisho,disgrace
589,aibisho,noun 5/6,maaibisho,dishonor
590,aibisho,noun 5/6,maaibisho,embarassment
591,aibisho,noun 5/6,maaibisho,humiliation
592,aibisho,noun 5/6,maaibisho,scandal
593,aibisho,noun 5/6,maaibisho,shame
594,aibu,noun 9/10,aibu,disgrace
595,aibu,noun 9/10,aibu,dishonor
596,aibu,noun 9/10,aibu,embarassment
597,aibu,noun 9/10,aibu,humiliation
598,aibu,noun 9/10,aibu,scandal
599,aibu,noun 9/10,aibu,shame
600,aidha,adverb,,furthermore
601,aidha,adverb,,next
602,aidha,conjunction,,and
603,aidha,conjunction,,besides
604,aidha,conjunction,,further
605,aidha,conjunction,,moreover
606,aidha,conjunction,,or
607,aidha,conjunction,,then
608,aidha,conjunction,,thereupon
609,aili,verb,,blame
610,aili,verb,,criticize
611,aili,verb,,reproach
612,ailisha,verb,,blame
613,ailisha,verb,,criticize
614,ailisha,verb,,reproach
615,aina,noun 9/10,aina,tc
616,aina,noun 9/10,aina,class
617,aina,noun 9/10,aina,erchandise)
618,aina,noun 9/10,aina,kind
619,aina,noun 9/10,aina,biological)
620,aina,noun 9/10,aina,sort
621,aina,noun 9/10,aina,species
622,aina,noun 9/10,aina,type
623,aini,verb,,classify
624,aini,verb,,define
625,aini,verb,,differentiate
626,aini,verb,,distinguish
627,aini,verb,,explain
628,aini,verb,,show
629,aini,verb,,specify
630,ainika,verb,,be specified
631,ainisha,verb,,classify
632,ainisha,verb,,distinguish
633,aisei,interjection,,hello
634,aisei,interjection,,I say
635,aishi,verb,,exist
636,aishi,verb,,last
637,aishi,verb,,live
638,aishi,verb,,remain
639,aiyosa,noun 9/10,aiyosa,children'ame
640,ajabia,verb applicative,,admire
641,ajabu,adverb,,astonishingly
642,ajabu,adverb,,extraordinarily
643,ajabu,adverb,,wonderfully
644,ajabu,verb,,be amazed
645,ajabu,verb,,be astonished
646,ajabu,verb,,marvel
647,ajabu,verb,,wonder
648,ajabu,adjective,,amazing
649,ajabu,adjective,,anomalous
650,ajabu,adjective,,astonishing
651,ajabu,adjective,,extraordinary
652,ajabu,adjective,,singular
653,ajabu,adjective,,strange
654,ajabu,adjective,,surprising
655,ajabu,noun 9/10,ajabu,amazement
656,ajabu,noun 9/10,ajabu,hing
657,ajabu,noun 9/10,ajabu,hing
658,ajabu,noun 9/10,ajabu,surprise
659,ajabu,noun 9/10,ajabu,hing
660,ajabu,noun 9/10,ajabu,wonder
661,ajali,noun 9/10,ajali,accident
662,ajali,noun 9/10,ajali,chance
663,ajali,noun 9/10,ajali,destination
664,ajali,noun 9/10,ajali,destiny
665,ajali,noun 9/10,ajali,fate
666,fate,proverb,,
667,ajali,noun 9/10,ajali,eath
668,ajara,noun 9/10,ajara,pay
669,ajara,noun 9/10,ajara,wages
670,ajari,noun 9/10,ajari,appetizer
671,ajari,noun 9/10an,ajari,cheat
672,tree,proverb,,
673,ajari,noun 9/10,ajari,chutney
674,ajari,noun 9/10an,ajari,rascal
675,ajari,noun 9/10an,ajari,relish
676,ajari,noun 9/10an,ajari,scoundrel
677,ajari,noun 9/10an,ajari,swindler
678,ajazi,verb,,be helpless
679,ajazi,verb,,be infirm
680,ajazi,verb,,be weak
681,Ajemi,noun,,Iran
682,Ajemi,noun,,Persia
683,ajenti,noun 9/10an,ajenti,agent
684,ajenti,noun 9/10an,ajenti,foreman
685,ajenti,noun 9/10an,ajenti,manager
686,ajibu,verb,,marvel
687,ajibu,adjective,,astonishing
688,ajibu,adjective,,extraordinary
689,ajibu,noun 9/10,ajibu,amazement
690,ajihi,verb,,pay a visit on s
691,ajili,noun 9/10,ajili,account
692,ajili,noun 9/10,ajili,cause
693,ajili,noun 9/10,ajili,reason
694,ajili,noun 9/10,ajili,sake
695,ajili,conjunction,,because of
696,ajili,conjunction,,on the strength of
697,ajili,conjunction,,therefore
698,ya,conjunction,,due to
699,ya,conjunction,,as a result of
700,ya,conjunction,,thanks to
701,ajinabi,adjective,,alien
702,ajinabi,adjective,,foreign
703,ajinabi,adjective,,unrelated
704,ajiri,verb,,employ
705,ajiri,verb,,engage
706,ajiri,verb,,enlist
707,ajiri,verb,,hire
708,ajiri,verb,,recruit (laborers or soldiers)
709,ajirisha,verb,,employ someone for pay
710,ajirisha,verb,,hire for work
711,ajirisha,verb,,lease
712,ajirisha,verb,,rent
713,ajiriwa,verb,,be hired
714,ajiza,adjective,,dilatory
715,ajiza,adjective,,hesitant
716,ajiza,adjective,,slack
717,ajiza,adjective,,weak
718,ajiza,noun 9/10,ajiza,delay
719,hunger,proverb,,
720,ajiza,noun 9/10,ajiza,hesitancy
721,ajiza,noun 9/10,ajiza,indecision
722,ajiza,noun 9/10,ajiza,laziness
723,ajiza,noun 9/10,ajiza,limpness
724,ajiza,noun 9/10,ajiza,negligence
725,ajiza,noun 9/10,ajiza,weakness
726,ajizi,adjective,,dilatory
727,ajizi,adjective,,hesitant
728,ajizi,adjective,,slack
729,ajizi,adjective,,weak
730,ajizi,verb,,be feeble
731,ajizi,verb,,linger
732,ajizi,verb,,loiter
733,ajizi,noun 9/10,ajizi,delay
734,hunger,proverb,,
735,ajizi,noun 9/10,ajizi,hesitancy
736,ajizi,noun 9/10,ajizi,indecision
737,ajizi,noun 9/10,ajizi,laziness
738,ajizi,noun 9/10,ajizi,limpness
739,ajizi,noun 9/10,ajizi,negligence
740,ajizi,noun 9/10,ajizi,weakness
741,ajizika,verb intransitive,,bado
742,ajuza,noun 9/10an,ajuza,oman
743,aka,verb,,act as if
744,aka,verb,,build
745,aka,verb,,erect (with stone)
746,aka,verb,,feign
747,aka,verb,,pretend to be
748,aka,interjection,,expresses impatience
749,aka,interjection,,expresses negation
750,aka,interjection,,expresses amazement
751,aka,interjection,,expression of annoyance
752,aka,interjection,,expression of astonishment
753,aka,interjection,,expression of impatience
754,akali,adjective,,few
755,akali,adjective,,individual
756,akali,adjective,,isolated
757,akali,noun 9/10,akali,aloneness
758,akali,noun 9/10,akali,isolation
759,akali,noun 9/10,akali,segregation
760,akarabu,noun 9/10,akarabu,hand
761,akarabu,noun 9/10,akarabu,indicator
762,akarabu,noun 9/10,akarabu,pointer
763,akari,noun 9/10,akari,rink
764,ake,pronoun,,her
765,ake,pronoun,,his
766,ake,pronoun,,its
767,akhera,noun 9,,afterlife
768,akhera,noun 9,,hereafter
769,die,figurative,,
770,akhera,noun 9,,life to come
771,akheri,noun 9/10,akheri,border
772,akheri,noun 9/10,akheri,end
773,akheri,noun 9/10,akheri,limit
774,akhiri,verb,,delay
775,akhiri,verb,,hesitate
776,akhiri,verb,,be postponed
777,akhiri,verb,,procrastinate
778,akhiri,verb,,be put off
779,akhtari,noun 9/10,akhtari,gathering
780,akhuyari,adverb,,better
781,akhuyari,adverb,,well
782,aki,noun 9/10an,aki,brother
783,aki,noun 9/10an,aki,eople
784,aki,noun 9/10an,aki,friend
785,aki,noun 9/10,aki,rabble
786,aki,mtiririko wa elektroni hewani noun 9/10,aki,arc
787,akia,verb,,devour
788,akia,verb,,gorge oneself
789,akia,verb,,gulp down
790,akia,verb,,swallow
791,akiba,verb,,dip into one's savings
792,akiba,verb,,lay aside
793,akiba,verb,,save
794,akiba,noun 9/10,akiba,reserve
795,spoil,proverb,,
796,akiba,noun 9/10,akiba,savings
797,akiba,noun 9/10,akiba,stock
798,akiba,noun 9/10,akiba,tore
799,akiba,noun 9/10,akiba,supply
